Patient_ID,Akkermansia,Faecalibacterium,Roseburia,Bifidobacterium,Bacteroides,Prevotella,Ruminococcus,Blautia,Collinsella,Escherichia_Shigella,Coprococcus,Alistipes,Subdoligranulum,Enterococcus,Eubacterium,Parabacteroides,Lactobacillus,Klebsiella,Streptococcus,Eggerthella,Other_Taxa
P03918,3.69,10.032,3.16,3.65,22.766,9.036,3.564,5.782,8.142,3.924,2.09,3.326,2.84,0.012,1.398,1.034,2.664,1.0,2.55,1.198,8.142
P03919,,,,,,,,,,,,,,,,,,,,,
P03920,3.076,17.07,1.306,3.266,10.258,9.356,2.034,14.136,3.614,0.876,0.854,4.8,4.15,4.456,3.52,2.524,7.532,0.508,1.16,0.216,5.288
P03921,2.44,9.592,3.292,4.156,10.75,6.808,2.662,12.712,1.62,0.026,3.166,7.44,1.046,0.454,3.604,4.634,4.398,3.234,3.186,1.364,13.416
P03922,8.176,12.486,8.23,2.974,16.704,9.338,3.304,9.192,3.574,0.874,1.81,4.074,2.092,0.644,0.676,1.472,1.986,1.33,0.328,0.35,10.386
P03923,3.104,17.694,4.466,5.052,21.156,7.948,5.688,11.55,0.228,1.982,2.83,1.094,4.176,0.01,0.44,0.992,0.024,0.254,0.626,3.718,6.968
P03924,3.91,17.2,3.696,5.476,20.516,7.726,6.848,4.944,1.948,0.74,2.378,1.39,0.93,0.202,0.92,1.28,3.994,1.112,0.276,0.01,14.504
P03925,2.54,1.912,3.016,0.774,23.998,8.302,5.05,12.034,5.476,8.974,0.444,3.07,2.012,2.166,0.722,5.27,0.33,0.712,6.322,0.65,6.226
P03926,0.838,11.06,5.604,7.53,18.574,5.992,7.924,9.57,6.152,1.126,4.664,0.184,0.872,0.244,2.158,1.876,0.124,0.564,1.196,0.148,13.6
P03927,1.014,8.608,12.078,3.866,12.51,9.628,4.858,11.79,1.67,2.85,0.632,1.488,1.686,0.218,2.698,3.014,2.022,1.09,2.468,4.05,11.762
P03928,3.392,11.99,3.574,8.902,16.366,5.02,2.688,12.136,1.21,0.158,5.28,4.112,2.934,0.322,2.772,1.066,1.48,3.9,2.356,2.146,8.196
P03929,1.108,6.68,2.632,2.638,21.84,6.682,2.458,16.272,6.108,3.126,2.216,2.912,1.88,2.48,2.656,4.338,0.276,1.96,1.334,1.65,8.754
P03930,,,,,,,,,,,,,,,,,,,,,
P03931,1.3701,5.0623,8.3485,5.8163,24.9215,5.1183,2.4341,10.1006,2.3021,7.6385,0.646,0.632,3.2442,0.9181,3.0422,1.4401,0.8901,0.64,2.2701,0.0,13.1648
P03932,0.336,9.626,3.968,5.492,23.874,5.762,2.624,10.346,5.748,5.116,0.714,2.084,1.32,3.328,0.678,1.688,1.796,2.06,2.248,2.348,8.844
P03933,4.04,7.892,1.806,4.21,22.856,8.932,1.916,13.182,2.164,0.346,5.81,0.798,4.602,1.23,1.668,0.35,4.824,0.14,2.288,0.01,10.936
P03934,0.692,7.452,6.094,6.756,14.784,8.782,4.67,6.064,2.28,2.588,3.058,1.102,4.812,2.514,5.482,2.232,2.914,0.308,5.014,2.974,9.428
P03935,4.116,6.006,4.738,2.96,10.798,12.688,7.174,11.07,5.102,1.576,1.024,0.46,2.628,2.912,4.944,8.048,1.708,1.67,3.792,1.034,5.552
P03936,3.31,19.698,2.84,4.058,24.492,7.31,2.34,7.328,1.7,0.98,4.39,1.74,0.972,0.36,3.13,1.402,0.56,0.236,1.066,0.656,11.432
P03937,1.434,3.778,0.818,5.126,23.11,11.356,8.162,9.176,3.054,1.598,2.774,1.332,2.538,0.362,0.988,0.866,2.288,2.194,1.408,0.32,17.318
P03938,2.614,10.578,4.258,8.13,13.166,4.076,4.858,12.232,4.426,0.192,6.52,1.66,4.93,0.744,0.594,2.4,0.344,0.37,1.326,0.014,16.568
P03939,1.664,11.822,6.048,3.596,13.89,6.126,7.402,10.886,3.66,0.44,2.318,7.648,0.81,0.496,1.31,3.096,1.038,1.226,0.89,0.054,15.58
P03940,3.496,6.63,1.822,3.026,22.79,3.658,4.596,14.556,1.878,5.36,0.982,2.374,1.97,0.738,2.87,0.122,0.228,4.274,6.524,0.792,11.314
P03941,2.53,5.674,7.77,8.096,16.6,13.112,3.136,8.388,0.744,5.408,3.766,1.3,3.574,2.626,3.67,0.566,0.592,0.662,0.958,1.684,9.144
P03942,2.354,9.66,8.348,5.262,14.632,8.428,10.424,5.736,2.38,0.496,3.19,2.366,3.914,0.492,1.892,2.798,2.076,3.072,1.192,0.148,11.14
P03943,2.452,6.536,7.068,11.988,15.864,4.71,4.094,6.452,3.212,0.472,12.258,2.718,4.216,0.318,1.024,1.45,1.198,0.054,1.942,0.528,11.446
P03944,0.528,18.834,6.42,5.658,18.946,6.178,3.7,5.154,3.5,4.372,1.166,2.404,2.012,2.486,1.94,2.544,1.084,1.118,0.526,1.582,9.848
P03945,8.864,7.406,4.11,6.376,14.56,6.354,7.004,7.566,4.726,2.618,2.626,5.958,0.954,0.338,3.14,1.708,0.528,0.126,3.048,0.264,11.726
P03946,1.532,19.846,4.836,4.438,18.294,9.372,4.836,2.272,1.66,0.89,4.29,2.08,1.51,2.056,1.188,4.348,2.106,0.198,1.254,0.606,12.388
P03947,3.53,8.618,1.382,2.406,34.89,3.96,2.714,9.156,6.502,1.854,2.234,1.324,1.068,0.508,0.906,2.644,0.858,0.204,1.816,1.122,12.304
P03948,6.758,11.93,3.28,10.708,18.004,3.05,2.306,5.512,3.688,1.066,4.372,2.834,9.5,0.282,2.004,1.026,2.306,0.296,2.856,0.0,8.222
P03949,3.75,8.102,3.358,3.886,27.71,7.336,6.09,7.476,3.462,1.996,1.94,2.626,2.702,0.544,2.612,0.35,3.158,0.27,2.426,0.212,9.994
P03950,,,,,,,,,,,,,,,,,,,,,
P03951,2.996,4.34,4.174,8.564,27.69,6.794,10.172,4.098,2.184,3.37,3.174,3.03,1.198,2.266,2.064,1.464,1.41,0.404,1.28,0.13,9.198
P03952,3.282,4.602,5.28,3.712,26.046,7.332,4.51,14.012,1.826,2.68,3.26,1.538,6.524,1.914,2.406,0.276,1.002,0.084,0.55,0.01,9.154
P03953,3.106,9.922,2.182,7.996,21.476,7.764,3.228,2.2,6.926,1.162,8.77,2.308,2.044,0.194,2.36,2.344,0.284,0.294,0.378,0.036,15.026
P03954,3.034,16.13,2.862,6.192,15.998,2.538,5.246,10.138,3.188,1.712,2.46,4.914,4.488,2.818,3.45,2.614,0.614,1.352,0.57,0.158,9.524
P03955,2.942,30.974,5.974,4.778,16.78,7.608,2.006,7.71,0.188,0.336,1.654,1.53,1.53,0.08,0.608,0.972,0.664,0.016,0.18,0.104,13.366
P03956,0.448,3.324,8.658,3.46,12.076,11.612,0.944,11.804,12.994,1.188,3.226,0.58,2.732,2.714,3.43,1.156,0.726,1.508,0.604,0.328,16.488
P03957,6.386,8.42,3.042,3.776,28.25,10.692,1.488,8.186,2.388,2.67,1.654,0.262,3.824,0.548,1.376,2.764,0.158,0.488,2.034,0.262,11.332
P03958,1.684,11.872,4.412,10.682,15.036,8.98,2.05,3.518,1.374,2.032,4.932,6.01,4.812,2.11,0.66,2.47,2.008,0.532,0.408,0.768,13.65
P03959,1.968,5.444,0.896,2.394,28.272,7.504,1.97,13.89,1.984,5.316,0.96,1.116,3.092,2.864,0.748,1.02,4.764,0.822,4.952,0.318,9.706
P03960,6.5441,6.5741,11.3542,5.0241,19.7584,9.3682,4.4101,6.8441,2.7081,1.274,4.0901,4.5481,0.804,3.0321,2.082,1.206,0.532,0.036,0.888,0.0,8.9222
P03961,3.698,7.678,5.03,4.556,19.912,6.82,4.75,9.442,3.494,0.86,0.776,3.444,3.738,0.916,5.742,3.836,0.694,0.746,1.684,0.484,11.7
P03962,1.654,9.458,3.194,4.354,30.2,6.972,0.82,6.724,2.136,4.096,0.372,0.45,2.222,1.714,2.298,0.896,1.162,1.77,3.744,0.294,15.47
P03963,1.81,8.802,4.146,1.794,22.098,15.986,0.862,4.358,2.518,1.844,2.414,1.502,4.57,4.012,0.624,2.474,0.278,1.74,1.346,0.128,16.694
P03964,1.962,5.442,3.252,7.482,22.22,8.642,1.248,10.514,6.354,3.646,0.92,5.752,2.864,0.676,3.22,1.566,0.654,0.22,1.998,0.894,10.474
P03965,2.93,17.932,4.054,4.564,21.496,7.57,3.128,3.454,4.392,1.77,2.432,4.35,2.7,0.732,0.042,2.718,0.284,0.222,1.78,2.098,11.352
P03966,1.6941,14.9926,4.4322,2.6561,31.6213,5.5122,2.3181,6.5983,2.0501,0.72,1.7061,4.5922,2.5601,2.4141,1.5861,2.6241,2.9181,0.0,0.236,0.0,8.7684
P03967,0.464,18.146,1.564,4.842,18.98,7.29,5.254,8.906,4.124,0.696,1.646,0.79,2.908,0.038,2.138,4.27,5.494,0.43,1.6,0.05,10.37
P03968,5.882,5.53,1.398,3.404,33.094,5.13,3.162,8.11,2.566,8.368,1.266,1.144,0.54,1.532,1.01,0.448,0.174,2.476,2.556,1.648,10.562
P03969,0.768,8.77,4.586,3.86,12.48,10.632,12.428,11.714,1.12,3.778,4.228,0.478,1.884,3.98,1.402,1.07,1.124,0.54,3.95,1.204,10.004
P03970,1.716,10.994,2.138,4.668,18.478,8.934,3.546,8.548,3.78,5.762,1.262,2.282,5.004,0.716,3.516,0.89,1.704,0.104,1.742,0.71,13.506
P03971,5.97,15.502,3.648,5.12,18.732,8.644,2.17,4.872,1.744,3.054,7.314,0.768,3.536,0.132,4.682,1.832,2.36,1.036,1.24,0.046,7.598
P03972,3.02,10.966,7.178,6.08,20.406,5.202,5.328,10.602,2.998,1.09,4.074,1.384,2.1,0.02,0.604,2.016,1.204,0.668,1.464,0.116,13.48
P03973,5.034,9.77,6.448,4.754,14.776,7.728,5.372,7.41,5.154,3.0,9.162,1.494,3.298,0.062,1.41,0.534,0.826,0.976,1.716,0.18,10.896
P03974,3.368,17.03,6.246,4.474,16.37,7.412,1.734,6.352,3.612,1.42,1.118,4.224,1.67,3.694,0.04,4.368,2.096,1.474,1.68,0.192,11.426
P03975,2.048,8.922,4.106,11.408,12.754,6.964,7.214,9.864,0.704,0.434,1.656,2.302,3.22,0.806,3.7,2.094,0.176,1.3,0.392,2.164,17.772
P03976,,,,,,,,,,,,,,,,,,,,,
P03977,1.826,7.728,3.952,9.366,19.232,8.244,2.412,6.798,3.922,1.024,1.306,1.416,2.16,0.086,4.092,1.896,0.75,4.222,0.264,0.236,19.068
P03978,2.626,6.41,2.558,6.332,27.494,5.056,3.256,13.16,4.376,4.286,2.536,2.88,2.41,0.7,1.598,0.514,0.518,0.114,1.35,3.856,7.97
P03979,1.688,8.55,1.154,8.892,18.124,6.022,4.698,4.786,3.432,2.518,1.078,5.184,6.852,0.538,1.21,2.382,1.594,1.22,1.244,1.424,17.41
P03980,3.742,13.102,3.66,3.478,16.026,7.814,1.806,8.402,2.354,1.388,8.252,0.714,3.21,0.442,1.9,0.964,0.946,2.324,0.97,1.02,17.486
P03981,1.174,8.858,3.67,3.97,25.884,6.25,5.854,8.968,1.544,3.298,2.674,3.254,2.46,1.498,0.79,2.676,2.226,2.778,0.914,1.134,10.126
P03982,3.8462,14.5486,3.6941,10.8704,18.8708,7.9043,1.6241,5.2782,3.4061,2.8401,3.2461,0.454,5.4502,0.056,0.444,2.3721,3.1741,0.828,2.1821,0.0,8.9104
P03983,3.77,8.992,1.794,3.014,15.354,11.488,3.498,10.074,2.792,5.972,6.588,3.414,2.422,0.348,2.188,3.77,1.242,4.594,1.144,0.302,7.24
P03984,6.414,12.174,6.918,5.13,21.05,6.292,1.912,5.33,2.332,1.73,3.272,1.23,1.274,0.472,3.112,1.238,1.298,0.342,0.61,0.062,17.808
P03985,4.634,0.76,8.138,3.774,17.918,12.642,7.17,11.156,3.718,1.608,2.49,0.862,1.318,2.718,0.528,0.832,4.84,3.328,3.052,1.07,7.444
P03986,2.062,6.408,3.668,6.544,27.9,9.28,5.45,8.55,2.288,3.422,0.698,2.496,1.09,1.876,2.98,2.888,1.512,0.94,3.096,0.658,6.194
P03987,2.516,7.886,3.132,10.044,23.238,4.828,2.152,10.636,1.722,3.37,3.078,3.658,1.642,0.15,2.516,3.104,0.738,3.03,1.494,0.024,11.042
P03988,6.302,9.67,3.27,4.134,19.816,4.996,4.44,12.782,2.224,1.128,3.192,4.034,1.994,0.038,0.906,3.176,0.97,3.468,0.258,0.114,13.088
P03989,4.438,13.934,2.852,5.248,22.556,7.3,3.846,7.938,1.842,1.508,2.406,0.928,0.82,4.536,2.11,1.692,4.106,0.294,0.656,1.034,9.956
P03990,1.336,11.666,1.346,5.17,30.806,9.094,2.914,7.67,1.862,1.296,2.182,1.724,2.6,0.1,2.07,3.204,0.3,3.226,0.938,1.006,9.49
P03991,0.302,4.564,2.326,3.65,26.504,10.71,1.52,9.906,6.308,3.42,3.304,2.848,0.482,1.99,0.338,0.87,0.214,1.326,2.916,2.184,14.318
P03992,3.304,8.34,0.552,5.858,29.268,12.302,3.79,5.048,3.674,4.284,1.164,1.994,1.626,1.15,2.412,1.732,0.224,0.634,2.392,0.634,9.618
P03993,0.99,11.908,4.234,0.946,28.28,2.222,1.59,9.416,6.562,0.166,8.608,7.408,2.524,0.508,0.952,1.308,1.37,0.618,2.824,0.962,6.604
P03994,2.05,6.376,4.288,8.174,30.524,4.362,2.744,7.08,3.334,1.912,0.282,1.164,2.656,0.026,2.52,1.528,1.53,0.318,2.602,0.722,15.808
P03995,1.99,14.306,3.572,2.322,30.604,7.418,11.618,3.056,3.074,2.088,3.988,2.664,3.432,0.2,0.818,1.296,0.144,0.018,1.044,0.506,5.842
P03996,,,,,,,,,,,,,,,,,,,,,
P03997,1.03,11.056,1.524,9.774,12.106,12.77,2.208,12.634,2.884,4.328,2.498,2.352,2.95,0.032,0.626,3.778,0.16,5.514,2.818,0.234,8.724
P03998,5.308,10.27,5.562,9.664,24.232,6.2,1.312,6.976,0.896,7.164,1.93,0.56,2.136,2.274,0.198,0.782,2.654,0.582,2.246,1.394,7.66
P03999,6.6841,12.5783,3.0061,3.8061,8.8382,7.3021,4.3521,11.9962,2.7461,1.894,9.1702,1.982,1.36,1.478,1.9,1.868,2.356,0.0,1.354,0.022,15.3063
P04000,3.472,7.3,3.84,6.246,19.316,5.602,5.052,9.392,2.102,1.408,1.212,5.662,5.934,0.332,1.868,3.764,0.314,0.906,2.672,0.278,13.328
P04001,2.98,9.326,1.894,8.012,16.472,7.08,6.35,4.388,3.494,3.2,0.652,3.846,3.854,0.414,1.118,2.226,2.056,0.296,2.166,0.12,20.056
P04002,4.086,4.34,3.932,5.962,20.116,6.808,8.146,9.358,6.222,1.928,0.498,1.93,1.638,0.752,1.372,5.932,1.474,2.552,1.22,0.89,10.844
P04003,3.582,5.592,2.166,5.242,23.298,9.626,5.078,7.418,3.738,1.344,0.25,2.098,4.11,2.84,1.318,1.132,2.288,1.024,2.606,1.514,13.736
P04004,1.554,3.398,5.596,5.05,24.37,5.454,2.614,7.088,2.306,4.238,2.714,4.322,0.634,4.926,6.086,0.792,1.594,0.884,2.236,2.452,11.692
P04005,1.442,13.276,4.428,7.432,18.588,5.81,1.426,13.912,0.574,0.652,1.314,1.252,8.016,0.76,0.822,2.06,0.714,0.476,1.522,0.372,15.152
P04006,2.706,4.154,5.952,10.644,13.182,12.308,3.108,10.942,3.218,5.672,5.296,2.456,2.62,3.068,2.954,2.054,0.692,0.292,1.132,1.538,6.012
P04007,1.078,15.044,5.506,6.162,18.04,1.528,4.082,7.458,6.894,1.054,4.986,3.986,4.524,1.45,0.556,3.004,0.362,0.394,0.262,0.034,13.596
P04008,3.872,7.792,5.42,0.67,28.122,6.946,6.432,10.564,2.19,2.486,0.206,2.586,1.472,1.226,0.894,5.13,0.256,1.958,1.53,0.254,9.994
P04009,,,,,,,,,,,,,,,,,,,,,
P04010,,,,,,,,,,,,,,,,,,,,,
P04011,0.63,9.058,4.286,7.786,18.746,4.838,10.638,12.072,1.926,1.854,2.764,0.372,1.482,1.898,2.766,1.592,2.07,0.61,1.716,1.858,11.038
P04012,5.848,8.554,10.678,1.942,14.36,8.834,2.684,6.968,5.372,0.24,4.274,6.042,2.188,0.602,3.932,1.868,4.506,0.114,1.122,0.262,9.61
P04013,3.74,13.558,7.604,8.402,15.396,5.272,1.262,3.342,1.112,0.408,3.916,6.052,3.454,0.506,1.406,3.278,3.018,0.014,3.398,0.42,14.442
P04014,3.074,8.364,4.418,4.658,29.562,11.19,0.826,8.656,5.118,1.828,1.058,0.822,1.12,0.2,0.856,1.288,1.79,0.732,4.468,0.554,9.418
P04015,,,,,,,,,,,,,,,,,,,,,
P04016,7.96,7.288,3.784,6.164,23.782,12.882,4.086,10.534,1.132,0.958,2.394,1.632,1.686,0.352,1.212,0.27,1.294,0.02,3.264,1.58,7.726
P04017,1.576,9.29,2.37,5.612,25.364,10.49,0.81,6.54,1.396,0.518,5.086,3.35,1.846,1.526,3.692,2.918,1.058,0.23,2.612,1.272,12.444
P04018,6.564,9.084,6.76,4.162,16.422,7.13,5.53,6.53,2.87,0.486,3.718,1.876,7.886,2.124,1.31,4.198,0.784,0.7,1.474,1.228,9.164
P04019,1.504,3.304,4.15,7.94,15.388,13.124,1.554,12.598,2.604,2.744,3.488,2.83,3.89,2.81,2.25,1.708,0.288,0.184,2.43,2.804,12.408
P04020,2.61,14.656,2.474,7.04,18.506,5.724,3.646,4.914,3.6,1.636,2.778,3.53,5.096,1.424,2.552,1.122,2.968,0.552,0.914,1.95,12.308
P04021,0.25,10.694,8.422,6.106,14.542,16.63,1.692,7.392,0.44,2.854,3.956,1.612,2.608,1.39,3.294,1.268,0.43,0.428,0.474,0.142,15.376
P04022,1.254,6.536,6.942,3.08,21.13,10.234,4.344,6.926,3.35,3.476,1.826,2.086,2.108,2.758,1.606,2.172,2.556,1.204,1.748,0.656,14.008
P04023,2.842,16.582,6.352,4.132,13.286,7.232,2.468,6.184,1.812,1.358,2.346,2.422,2.592,0.054,2.676,3.79,1.806,0.938,4.762,0.052,16.314
P04024,2.644,7.446,2.788,3.814,27.25,3.664,2.742,5.654,4.612,1.094,2.37,1.518,0.802,4.12,1.12,3.26,2.474,4.068,3.474,0.574,14.512
P04025,3.662,13.198,4.286,3.128,25.824,9.582,3.634,9.01,1.686,0.606,1.692,2.036,2.86,0.1,2.604,2.47,0.108,1.656,1.356,0.032,10.47
P04026,3.422,8.652,7.74,4.614,10.02,9.48,5.364,7.888,9.698,1.966,3.05,4.634,3.392,3.258,3.69,3.516,0.686,1.04,1.714,0.414,5.762
P04027,1.902,10.95,4.254,3.268,24.256,7.252,1.92,7.054,4.898,2.172,3.002,2.428,5.724,0.908,0.688,3.102,1.62,1.626,2.198,0.082,10.696
P04028,3.7201,9.6242,13.5103,1.764,17.8384,5.0561,7.9942,10.2202,1.66,3.0881,4.3221,2.482,1.976,0.638,3.0541,3.4161,1.632,0.0,0.68,0.05,7.2741
P04029,1.942,8.128,7.446,6.748,12.642,12.976,2.874,8.422,2.464,1.33,5.286,2.146,2.852,0.592,2.402,2.83,0.658,0.122,0.444,0.61,17.086
P04030,0.808,7.688,3.468,4.87,15.5,3.09,5.846,15.038,1.542,4.462,1.85,4.84,3.406,2.312,4.092,2.88,1.634,0.216,5.82,1.348,9.29
P04031,0.94,6.868,7.202,5.8,14.018,11.498,3.958,12.824,3.554,3.948,0.788,2.796,1.472,2.616,0.208,6.392,1.154,0.016,1.82,3.384,8.744
P04032,3.656,10.302,9.874,4.282,22.686,8.826,2.088,14.38,1.386,1.092,2.892,3.074,1.53,0.752,0.748,4.456,1.408,0.218,0.342,0.016,5.992
P04033,2.694,4.52,9.494,2.442,17.398,8.14,4.87,8.142,0.514,1.12,4.75,2.228,8.78,3.46,2.868,0.402,0.984,0.496,2.504,1.642,12.552
P04034,4.258,6.942,5.018,11.076,13.714,4.218,2.132,20.824,1.71,3.39,6.58,1.762,3.684,0.84,0.634,1.452,0.122,0.268,3.294,0.836,7.246
P04035,4.344,9.75,6.696,9.706,15.514,13.63,4.056,5.622,1.59,0.972,1.75,7.494,3.296,1.316,1.456,1.268,1.816,1.022,1.688,0.012,7.002
P04036,2.6801,11.9962,5.6941,11.5962,19.7204,4.5661,0.614,11.7882,1.714,1.606,2.5081,2.022,1.722,0.484,2.156,1.716,2.5561,0.89,1.476,0.0,12.4942
P04037,0.136,11.222,3.442,8.588,23.466,9.27,4.47,4.926,1.25,0.198,2.554,6.904,3.126,0.65,2.406,0.826,1.394,4.434,3.474,2.118,5.146
P04038,3.594,4.85,3.1,1.454,25.512,8.818,7.88,9.086,6.632,2.378,1.726,1.004,6.172,0.01,0.628,3.108,3.042,1.426,0.632,0.59,8.358
P04039,2.522,8.032,3.946,6.472,18.32,10.118,2.04,6.242,3.342,2.118,1.678,4.736,4.756,0.08,5.702,3.786,2.11,0.05,1.612,1.93,10.408
P04040,4.494,2.472,6.822,5.56,18.16,9.314,3.858,10.062,1.164,2.144,5.888,2.914,0.392,1.096,0.092,0.71,2.63,1.144,2.616,3.254,15.214
P04041,3.274,10.614,2.87,4.22,14.086,8.536,4.05,12.184,1.862,0.67,0.744,6.132,2.55,0.116,2.168,2.334,1.362,1.452,3.712,0.536,16.528
P04042,,,,,,,,,,,,,,,,,,,,,
P04043,3.048,16.67,3.054,2.264,16.84,5.754,3.276,6.62,6.528,1.888,0.69,2.272,3.914,2.652,0.556,0.336,2.05,1.348,1.88,0.184,18.176
P04044,0.45,13.3863,7.1921,7.6542,19.4184,5.1821,7.6122,6.7341,3.7921,3.1361,2.5521,3.9201,2.7501,0.494,1.412,0.576,2.7861,0.0,0.526,0.056,10.3702
P04045,3.412,10.596,1.556,9.27,11.974,2.556,4.95,9.86,2.376,3.944,1.456,1.6,2.71,2.27,1.902,8.188,1.174,0.852,0.464,1.078,17.812
P04046,2.654,6.054,3.956,7.4,17.216,5.064,3.756,10.474,4.792,2.866,3.812,2.596,6.538,1.386,1.466,5.21,1.612,0.018,0.978,0.564,11.588
P04047,,,,,,,,,,,,,,,,,,,,,
P04048,4.73,7.17,7.336,2.208,21.328,3.42,4.814,6.704,1.648,1.82,0.666,2.294,5.984,0.97,1.004,2.244,1.04,0.016,1.548,0.594,22.462
P04049,1.724,19.054,5.068,3.45,18.866,6.232,6.624,5.596,0.732,0.654,2.682,5.09,0.636,1.708,1.654,4.072,2.268,0.284,1.516,2.508,9.582
P04050,8.258,10.556,1.482,4.752,13.716,3.466,7.542,7.37,3.91,1.366,3.426,5.018,0.864,1.044,4.254,4.278,5.548,0.8,8.808,0.278,3.264
P04051,4.238,3.358,10.806,8.434,21.618,5.314,4.368,10.236,3.3,1.924,1.25,2.066,1.29,1.14,1.63,2.974,1.25,1.01,1.96,1.262,10.572
P04052,1.396,4.174,2.18,1.712,23.77,10.612,8.312,3.618,2.066,7.53,6.108,2.568,0.594,1.106,0.262,2.356,1.686,2.574,3.464,0.414,13.498
P04053,1.27,15.082,9.308,7.314,17.214,11.924,6.21,6.64,1.306,0.226,0.602,1.998,0.586,0.852,1.07,2.372,1.918,0.436,0.62,0.24,12.812
P04054,,,,,,,,,,,,,,,,,,,,,
P04055,5.272,4.358,1.74,2.044,27.588,7.354,0.228,7.26,5.358,8.47,1.996,4.41,2.088,2.044,0.826,1.666,0.99,1.67,4.422,2.802,7.414
P04056,1.652,2.216,0.956,3.202,35.212,8.326,2.08,15.902,6.188,1.07,4.132,2.44,0.146,0.834,5.126,0.228,0.724,0.164,1.866,0.438,7.098
P04057,7.926,13.81,5.12,4.752,17.996,8.426,4.446,5.106,1.11,0.558,0.704,2.744,4.836,0.128,3.762,0.53,5.112,0.274,0.918,0.13,11.612
P04058,4.512,9.128,2.536,5.832,18.83,10.804,0.842,3.896,7.074,0.122,2.624,5.952,1.69,0.688,3.108,2.806,0.366,4.786,0.27,1.13,13.004
P04059,3.538,3.82,4.864,2.504,24.418,9.778,2.3,12.586,1.52,5.324,8.92,0.318,3.758,1.312,0.596,0.42,1.066,0.244,2.152,1.332,9.23
P04060,,,,,,,,,,,,,,,,,,,,,
P04061,2.14,7.338,6.464,2.214,15.586,10.544,2.624,17.068,4.414,0.462,4.778,2.34,1.378,1.824,0.386,3.194,0.716,0.162,4.184,0.122,12.062
P04062,3.21,15.344,7.212,7.226,21.142,4.568,2.69,3.074,1.32,0.488,4.078,2.712,1.682,0.188,1.672,1.378,4.352,0.95,2.766,1.87,12.078
P04063,7.542,5.89,2.312,4.718,19.496,4.972,3.178,5.906,1.008,1.112,0.834,1.668,3.16,0.566,2.1,1.88,6.602,5.144,4.456,0.284,17.172
P04064,2.522,4.92,5.872,3.516,18.532,12.272,4.062,10.07,5.296,2.386,4.272,4.348,2.588,1.718,2.054,1.404,2.114,0.096,4.708,0.956,6.294
P04065,2.73,6.664,6.586,6.886,15.812,11.024,1.576,7.57,8.02,1.218,0.492,1.97,4.16,2.554,4.88,1.066,2.58,0.316,1.74,0.204,11.952
P04066,9.04,13.15,4.56,7.688,13.208,8.664,4.338,9.308,1.48,0.044,3.604,2.538,1.852,0.63,4.1,1.024,1.238,0.506,2.684,1.392,8.952
P04067,2.224,9.672,7.47,5.258,22.036,9.322,4.598,3.444,1.814,1.874,2.542,0.496,4.802,1.67,1.524,1.042,0.44,0.274,0.04,0.532,18.926
P04068,3.858,9.776,10.508,6.682,10.072,5.962,6.992,4.586,4.546,0.142,3.116,4.366,1.354,0.274,7.226,2.626,5.244,0.178,2.044,0.026,10.422
P04069,6.732,8.512,6.57,3.68,24.32,7.302,4.598,5.024,0.264,0.106,1.166,4.794,4.456,1.106,2.882,1.912,0.8,2.21,0.826,0.214,12.526
P04070,1.524,6.008,4.146,7.492,25.926,8.378,6.53,9.42,3.582,3.078,0.078,4.726,2.47,0.264,2.874,1.34,0.722,0.586,1.378,2.194,7.284
P04071,2.5201,15.2106,6.9303,6.6903,20.7548,2.7761,3.2421,5.6842,5.8742,1.126,2.3841,2.3541,6.0002,1.19,3.8122,0.934,4.3362,0.052,0.376,0.0,7.7523
P04072,0.514,7.186,3.02,6.362,23.334,9.892,1.782,9.596,1.694,2.462,0.552,0.746,0.928,3.026,0.862,0.704,4.128,2.652,4.656,4.694,11.21
P04073,2.9,10.952,2.514,3.292,21.09,13.508,2.358,9.172,3.642,1.36,0.158,3.712,0.308,0.168,0.6,0.628,4.62,0.876,1.872,2.466,13.804
P04074,4.156,12.636,4.874,2.794,13.032,4.918,5.012,9.924,2.83,3.098,1.454,7.188,1.414,0.458,3.21,1.288,5.198,2.368,0.402,0.408,13.338
P04075,1.354,6.926,4.934,2.572,17.072,10.866,3.714,5.184,0.97,1.61,5.016,5.652,6.504,0.528,2.154,0.168,0.822,0.812,0.946,2.148,20.048
P04076,1.136,9.27,3.762,9.648,23.432,5.534,1.928,8.3,1.264,3.03,5.022,7.122,2.098,1.076,3.084,4.692,1.992,0.978,0.266,0.13,6.236
P04077,0.894,8.726,1.916,1.74,25.562,8.472,2.244,17.886,3.01,1.464,1.626,1.39,1.622,2.796,2.742,1.072,1.072,1.072,2.18,0.272,12.242
P04078,2.044,6.046,3.118,3.442,18.572,5.414,8.324,8.96,4.206,0.596,2.488,4.474,7.116,3.466,3.062,3.498,0.984,0.458,1.312,2.0,10.42
P04079,7.458,14.934,4.762,4.472,19.564,7.048,1.746,9.488,1.268,3.836,5.014,1.284,1.448,0.106,2.954,1.658,4.206,0.064,0.834,1.768,6.088
P04080,4.842,7.692,2.388,5.088,16.944,6.27,1.26,4.198,5.312,0.712,4.876,5.662,0.4,0.692,4.87,2.248,1.82,0.038,4.338,0.152,20.198
P04081,4.164,2.298,2.48,6.442,19.41,4.016,0.846,6.17,7.798,6.3,3.974,2.1,4.292,4.116,3.424,1.372,1.36,0.418,2.178,0.356,16.486
